DTXSID,PREFERRED NAME,casrn,INCHIKEY,IUPAC NAME,smiles,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays,predictions_model2
DTXSID3023899,Benfluralin,1861-40-1,SMDHCQAYESWHAE-UHFFFAOYSA-N,"N-Butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline",CCCCN(CC)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,"InChI=1S/C13H16F3N3O4/c1-3-5-6-17(4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3",C13H16F3N3O4,335.283,335.109290,162,11,108.0,10.0,1,90/965,9.0,965.0,Inactive
DTXSID5020819,Methidathion,950-37-8,MEBQXILRKZHVCX-UHFFFAOYSA-N,"S-[(5-Methoxy-2-oxo-1,3,4-thiadiazol-3(2H)-yl)methyl] O,O-dimethyl phosphorodithioate",COC1=NN(CSP(=S)(OC)OC)C(=O)S1,"InChI=1S/C6H11N2O4PS3/c1-10-5-7-8(6(9)16-5)4-15-13(14,11-2)12-3/h4H2,1-3H3",C6H11N2O4PS3,302.32,301.961857,185,73,96.0,,2,90/990,9.0,990.0,Inhibitor_very weak
DTXSID0022018,Disulfoton,298-04-4,DOFZAZXDOSGAJZ-UHFFFAOYSA-N,"O,O-Diethyl S-[2-(ethylsulfanyl)ethyl] phosphorodithioate",CCOP(=S)(OCC)SCCSCC,"InChI=1S/C8H19O2PS3/c1-4-9-11(12,10-5-2)14-8-7-13-6-3/h4-8H2,1-3H3",C8H19O2PS3,274.39,274.028480,207,102,106.0,23.0,2,85/981,9.0,981.0,Inhibitor_very weak
DTXSID5020607,Di(2-ethylhexyl) phthalate,117-81-7,BJQHLKABXJIVAM-UHFFFAOYSA-N,"Bis(2-ethylhexyl) benzene-1,2-dicarboxylate",CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC,"InChI=1/C24H38O4/c1-5-9-13-19(7-3)17-27-23(25)21-15-11-12-16-22(21)24(26)28-18-20(8-4)14-10-6-2/h11-12,15-16,19-20H,5-10,13-14,17-18H2,1-4H3",C24H38O4,390.564,390.277010,307,2158,147.0,880.0,1,103/1150,9.0,1150.0,Inactive
DTXSID2021151,2-Phenylphenol,90-43-7,LLEMOWNGBBNAJR-UHFFFAOYSA-N,"[1,1'-Biphenyl]-2-ol",OC1=C(C=CC=C1)C1=CC=CC=C1,"InChI=1S/C12H10O/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9,13H",C12H10O,170.211,170.073165,243,2416,189.0,168.0,1,77/990,8.0,990.0,Inactive
DTXSID5024261,Phosmet,732-11-6,LMNZTLDVJIUSHT-UHFFFAOYSA-N,"S-[(1,3-Dioxo-1,3-dihydro-2H-isoindol-2-yl)methyl] O,O-dimethyl phosphorodithioate",COP(=S)(OC)SCN1C(=O)C2=C(C=CC=C2)C1=O,"InChI=1S/C11H12NO4PS2/c1-15-17(18,16-2)19-7-12-10(13)8-5-3-4-6-9(8)11(12)14/h3-6H,7H2,1-2H3",C11H12NO4PS2,317.31,316.994537,186,94,100.0,5.0,2,82/971,8.0,971.0,Inactive
DTXSID5032442,Imidacloprid,138261-41-3,YWTYJOPNNQFBPC-UHFFFAOYSA-N,N-{(2E)-1-[(6-Chloropyridin-3-yl)methyl]imidazolidin-2-ylidene}nitramide,[O-][N+](=O)\N=C1/NCCN1CC1=CN=C(Cl)C=C1,"InChI=1S/C9H10ClN5O2/c10-8-2-1-7(5-12-8)6-14-4-3-11-9(14)13-15(16)17/h1-2,5H,3-4,6H2,(H,11,13)",C9H10ClN5O2,255.66,255.052302,194,1180,71.0,22.0,1,71/998,7.0,998.0,Inactive
DTXSID6021086,Oxamyl,23135-22-0,KZAUOCCYDRDERY-UHFFFAOYSA-N,Methyl 2-(dimethylamino)-N-[(methylcarbamoyl)oxy]-2-oxoethanimidothioate,CNC(=O)ON=C(SC)C(=O)N(C)C,"InChI=1S/C7H13N3O3S/c1-8-7(12)13-9-5(14-4)6(11)10(2)3/h1-4H3,(H,8,12)",C7H13N3O3S,219.26,219.067762,177,37,37.0,5.0,1,71/959,7.0,959.0,Inactive
DTXSID4032611,Ethoprop,13194-48-4,VJYFKVYYMZPMAB-UHFFFAOYSA-N,"O-Ethyl S,S-dipropyl phosphorodithioate",CCCSP(=O)(OCC)SCCC,"InChI=1S/C8H19O2PS2/c1-4-7-12-11(9,10-6-3)13-8-5-2/h4-8H2,1-3H3",C8H19O2PS2,242.33,242.056409,185,27,101.0,14.0,2,69/1016,7.0,1016.0,Inactive
DTXSID9020249,Carbofuran,1563-66-2,DUEPRVBVGDRKAG-UHFFFAOYSA-N,"2,2-Dimethyl-2,3-dihydro-1-benzofuran-7-yl methylcarbamate",CNC(=O)OC1=CC=CC2=C1OC(C)(C)C2,"InChI=1S/C12H15NO3/c1-12(2)7-8-5-4-6-9(10(8)16-12)15-11(14)13-3/h4-6H,7H2,1-3H3,(H,13,14)",C12H15NO3,221.256,221.105193,233,626,115.0,4.0,2,56/919,6.0,919.0,Inactive
